Title_ID,Title_Name,Franchise,Release_Year
T001,Frozen,Frozen,2013
T002,Frozen II,Frozen,2019
T003,Avengers: Age of Ultron,Marvel,2015
T004,Avengers: Infinity War,Marvel,2018
T005,Avengers: Endgame,Marvel,2019
T006,Iron Man,Marvel,2008
T007,Star Wars: A New Hope,Star Wars,1977
T008,Star Wars: The Empire Strikes Back,Star Wars,1980
T009,The Mandalorian,Star Wars,2019
T010,The Mandalorian S2,Star Wars,2020
